board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender,id
Alloy B-Bomb,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-2016-2020-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,8-10,Tunisia by Nidecker,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Great,Good,Great,Good,Average,Great,"['2016', '2020']",mens,pcQjfBFdQmn6Aqep1PKrAJ8tpZY=
Alloy B-Bomb GT,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-gt-2020-snowboard-review,None,Freestyle,Intermediate - Expert,8-10,Tunisia by Nidecker,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Average,Good,Great,Good,Great,Good,['2020'],mens,WdfFXZW/dvMLdhtMZs3ihVDCRHI=
Alloy D.O Carbon,https://thegoodride.com/snowboard-reviews/alloy-d-o-carbon-2019-2020-snowboard-review,Pretty Good,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Heavy,Poor,Great,Excellent,Excellent,Poor,Average,Good,Poor,Poor,"['2019', '2020']",mens,GLXwggrHSpW/E/vBriKPps5WPmE=
Alloy Darwin Flow,https://thegoodride.com/snowboard-reviews/alloy-darwin-flow-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,Tunisia by Nidecker,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Poor,Average,Poor,Average,['2020'],mens,vyqJS+sM6x2avNeKZCtTt6aTMlA=
Alloy DO 7X,https://thegoodride.com/snowboard-reviews/alloy-do-7x-2017-snowboard-review,Liked it!,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Average,Poor,Poor,['2017'],mens,IbVxVGqf7kOWjwmJu3U0lxr16gk=
Alloy DO BC,https://thegoodride.com/snowboard-reviews/alloy-do-bc-2017-snowboard-review,Liked it!,Freeride,Expert,8-10,Tunisia by Nidecker,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Average,Poor,Poor,['2017'],mens,7j4iqh428rEvYvOboeaeLtnxYI0=
Alloy Kwang Ki,https://thegoodride.com/snowboard-reviews/alloy-kwang-ki-2020-snowboard-reveiw,None,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional Twin,Traditional Camber,Setback -10mm,Feels Normal,Poor,Great,Great,Great,Good,Great,Great,Average,Great,['2020'],mens,3CW9TTqpy7zqLJ9BrXQClPA7PPU=
Alloy Outkome,https://thegoodride.com/snowboard-reviews/alloy-outkome-2019-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional Twin,Mostly Camber,Setback -20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Average,Great,"['2019', '2020']",mens,X5VwiII0xXn75VZTMIF349GtiI8=
Alloy Sniper,https://thegoodride.com/snowboard-reviews/alloy-sniper-2016-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,Tunisia by Nidecker,Directional,Traditional Camber,Setback -20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Poor,Excellent,"['2016', '2020']",mens,IRhS/LYoZnYU8I+waYdA7x0hZM8=
Arbor A-Frame,https://thegoodride.com/snowboard-reviews/arbor-a-frame-2010-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Mostly Camber,Setback -10mm,Feels Normal,Good,Excellent,Excellent,Excellent,Average,Poor,Average,Poor,Average,"['2010', '2019']",mens,V8LdwsXcvVQ4Inile9zTx1Ghtc0=
Arbor Annex,https://thegoodride.com/snowboard-reviews/arbor-annex-2021-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Mostly Camber,Setback -10mm,Feels Normal,Good,Great,Great,Great,Great,Average,Good,Poor,Good,['2021'],mens,IGWS3GAVSYC6QPSJWwj04JCs24Y=
Arbor Bryan Iguchi Pro Camber,https://thegoodride.com/snowboard-reviews/arbor-bryan-iguchi-pro-camber-2017-2021-snowboard-review,None,All Mountain,Intermediate - Expert,8-10,Dubai by SWS,Tapered Directional,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Great,Great,Good,Great,Poor,Great,"['2017', '2021']",mens,49q5/R4aizM1/UbGwtxs9Rt8k58=
